Name,Prefix,Slot,Complexity,Perk 1,Perk 2,Skill,Rarity,Materials,Cost,Effects,Weight,Mod Applies to list
Rapid,Rapid,Recievers,3,?Gun Nut 1,,?Repair,?Uncommon,?Common x 4 Uncommon x 2,?30,"minus 1 CD Damage, plus 2 Fire Rate",?1,Submachine Gun
Armor Piercing,Armor Piercing,Recievers,4,?Gun Nut 2,,?Repair,?Uncommon,?Common x 5 Uncommon x 3,?35,"plus 1 CD Damage, gain Piercing 1",?1,Submachine Gun
Tuned,Tuned,Recievers,3,?Gun Nut 1,,?Repair,?Uncommon,?Common x 4 Uncommon x 2,?27,"plus 1 CD Damage, plus 1 Fire Rate",?1,Hunting Rifle
Hardened,Hardened,Recievers,2,,,Repair,Common,Common x 3,20,plus 1 CD Damage,,".44 Pistol, 10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Double-Barrel Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Powerful,Powerful,Recievers,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,25,plus 2 CD Damage,1,".44 Pistol, 10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Double-Barrel Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Advanced,Advanced,Recievers,5,Gun Nut 2,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,35,"plus 3 CD Damage, plus 1 Fire Rate",2,".44 Pistol, 10mm Pistol, Assault Rifle, Combat Rifle, Combat Shotgun, Double-Barrel Shotgun"
Calibrated,Calibrated,Recievers,2,,,Repair,Common,Common x 3,25,gain Vicious,,"10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Automatic,Auto,Recievers,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,30,"minus 1 CD Damage, plus 2 Fire Rate, gain Burst, gain Inaccurate",1,"10mm Pistol, Assault Rifle, Combat Rifle, Combat Shotgun, Pipe Gun"
Hair Trigger,Hair Trigger,Recievers,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,20,plus 1 Fire Rate,,"10mm Pistol, Assault Rifle, Combat Rifle, Combat Shotgun, Double-Barrel Shotgun, Pipe Gun"
.38 Reciever,.38,Recievers,6,Gun Nut 4,,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,20,"Set 4 CD Damage, Ammo .38",3,"Combat Rifle, Hunting Rifle, Pipe Bolt-Action, Pipe Revolver"
